ID,Type,Flavor,Filling,Size,Layers,Frosting Type,Frosting Flavor,Decoration Type,Decoration Color,Custom Message,Shape,Allergies,Special Ingredients,Packaging Type,Price,quantity
1,Wedding,Vanilla,Lemon Curd,12 inch,1,Fondant,Lemon,Edible Flowers,Pink,Happy Anniversary!,Round,Gluten,Almond Milk,Gift Wrap,74.07,2
2,Wedding,Carrot,Vanilla Cream,6 inch,2,Buttercream,Strawberry,Chocolate Shavings,Green,Welcome Baby!,Rectangle,Gluten,Coconut Sugar,Gift Wrap,43.52,3
3,Wedding,Carrot,Raspberry,8 inch,2,Whipped Cream,Strawberry,Fruit,Silver,Happy Anniversary!,Rectangle,Dairy,Vegan Butter,Box,107.63,3
4,Birthday,Lemon,Lemon Curd,10 inch,1,Whipped Cream,Lemon,Fruit,Red,Happy Anniversary!,Heart,None,Vegan Butter,Box,40.01,4
5,Baby Shower,Lemon,Strawberry,6 inch,4,Whipped Cream,Chocolate,Sprinkles,Green,Best Wishes!,Round,Dairy,Coconut Sugar,Plastic Container,129.53,3
6,Birthday,Chocolate,Lemon Curd,6 inch,3,Fondant,Lemon,Edible Flowers,Silver,Congratulations!,Rectangle,Nuts,Vegan Butter,Gift Wrap,129.39,1
7,Anniversary,Lemon,Strawberry,6 inch,2,Buttercream,Chocolate,Fruit,Silver,Best Wishes!,Heart,None,Vegan Butter,Box,64.55,2
8,Birthday,Red Velvet,Chocolate Ganache,8 inch,3,Buttercream,Lemon,Fruit,Green,Happy Anniversary!,Rectangle,Dairy,Coconut Sugar,Gift Wrap,80.52,1
9,Anniversary,Red Velvet,Chocolate Ganache,8 inch,1,Fondant,Chocolate,Chocolate Shavings,Gold,Best Wishes!,Round,Dairy,Coconut Sugar,Box,77.92,5
10,Anniversary,Carrot,Strawberry,10 inch,1,Fondant,Vanilla,Fruit,Silver,Congratulations!,Heart,Gluten,Almond Milk,Box,84.77,5
